num_points,std,avg_median_dev,width,linearity,circularity,radius,boundary_length,boundary_regularity,mean_curvature,ang_diff,iav,std_iav,distance,dist_num_points,occluded_right,occluded_left,label
7,0.0377257,0.0313111,0.102489,0.0063534,0.000710883,0,0.109779,0.00774462,11.4475,2.25023,2.27939,1.578,1.91669,0.273813,1,1,1
7,0.0497557,0.0435706,0.117481,0.0118659,0.000429543,0,0.180266,0.0136368,10.6567,1.96834,3.29307,2.25846,2.05076,0.292965,1,0,1
7,0.039161,0.0320371,0.108181,0.00679735,0.000849883,0,0.124436,0.00879047,30.1429,2.12582,2.42724,1.6757,1.91525,0.273607,1,1,1
8,0.0714223,0.0518639,0.190236,inf,0.000691445,0,0.272424,0.0345212,18.7866,2.08153,3.47764,2.15753,2.02989,0.253736,1,1,1
8,0.0440409,0.0360139,0.118606,inf,0.00105072,0,0.163892,0.0145971,19.4735,2.13959,3.04915,1.91212,1.909,0.238625,1,0,1
9,0.0543463,0.0457542,0.143639,0.0170888,0.00477969,0,0.173654,0.00832672,17.6692,2.29015,2.80692,1.68997,1.86,0.206667,1,0,1
8,0.0428291,0.0357365,0.11896,inf,0.00120566,0,0.163431,0.0119011,34.7313,2.14805,2.90198,1.8279,1.90122,0.237652,1,0,1
8,0.0371976,0.0304801,0.10334,inf,0.000207199,0,0.127228,0.00772651,28.2168,2.12604,2.97644,1.85233,1.63998,0.204998,1,1,1
8,0.0439384,0.0358131,0.123318,inf,0.00232597,0,0.176421,0.0178174,20.3648,2.26808,2.71741,1.76115,1.89272,0.236589,1,0,1
9,0.0383522,0.0311403,0.112602,0.00959191,7.13295e-05,0,0.121701,0.00619894,14.9003,2.34212,2.81555,1.6048,1.54,0.171111,1,1,1
8,0.039671,0.0333263,0.111913,inf,0.00069706,0,0.131785,0.00665621,28.3697,2.36274,2.24392,1.42944,1.83366,0.229207,1,1,1
7,0.0302415,0.0255303,0.081036,0.00654593,0.000400087,0,0.0894397,0.00692361,14.7974,2.25023,2.15801,1.50881,1.50885,0.21555,1,1,1
7,0.0363899,0.030439,0.0956568,0.00704535,0.000146311,0,0.11898,0.00842175,16.2628,2.1186,2.85672,1.97052,1.71395,0.24485,1,1,1
8,0.0330086,0.0274925,0.0924629,inf,0.00129094,0,0.123594,0.0075184,42.6658,2.44409,2.36445,1.51337,1.50427,0.188034,1,1,1
9,0.0415947,0.0340894,0.109692,0.0125801,0.000119061,0,0.161543,0.0123766,11.4871,2.1844,3.54807,2.01516,1.5257,0.169523,1,1,1
9,0.0393953,0.0320261,0.106912,0.0116914,0.000890408,0,0.17062,0.0123905,30.6574,2.18239,3.41966,1.95564,1.5,0.166667,1,1,1
10,0.0520474,0.0455867,0.123418,4.02435,0.00193372,0,0.184118,0.00947296,15.9274,2.3418,3.40767,1.91417,1.25943,0.125943,0,1,1
9,0.0380818,0.0309526,0.108571,0.0102576,0.000868062,0,0.164136,0.0113518,43.3758,2.19947,3.157,1.82345,1.47,0.163333,1,1,1
